node,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
engLME_MoreThanComparisonConstructiontype2,8,4.267373155170581,0.8888888888888888,0.25,1.8651659958805424,0.3001835185189557
engLME_AdjectiveConstruction,8,4.498178379373439,0.8888888888888888,0.08333333333333333,1.6532537240947058,0.3392530238783199
engLME_PremodifierofAdjectiveConstruction,8,4.499145276836146,0.8888888888888888,0.05555555555555555,1.6647734523060171,0.34129993024168953
engLME_MoreThanComparisonConstructiontype1,9,5.17416947325729,1.0,0.027777777777777776,1.7566216114223403,0.3571909238827106
engLME_AdjectivalwithPARTNERConstruction,6,3.5255367560939908,0.6666666666666666,0.0,1.3980577706316106,0.27904326895538945
engLME_GeneralPostmodifierofAdjectiveConstruction,8,4.509866531295207,0.8888888888888888,0.0,1.6624595439101209,0.3411162988079834
engLME_ComparativeConstruction,3,2.0417226699529696,0.3333333333333333,0.0,1.0771472217115554,0.15014408110625066
engLME_MoreThanComparisonConstructiontype3,8,4.340456071671901,0.8888888888888888,0.0,1.8201923991099176,0.30438803458147656
engLME_MostLeastConstruction,8,4.620052273030133,0.8888888888888888,0.0,1.6224141580302487,0.349035102306912
engLME_SuperlativeConstruction,8,4.576017676392458,0.8888888888888888,0.0,1.644131654628376,0.34565871017529876
