cc_name,cc_type,full_name
adjectival-phrase,cxn,cxn:adjectival-phrase
adjective,cxn,cxn:adjective
adjective-modification-construction,cxn,cxn:adjective-modification-construction
admodifier,cxn,cxn:admodifier
attributive-phrase,cxn,cxn:attributive-phrase
comparative-construction,cxn,cxn:comparative-construction
comparative-form,cxn,cxn:comparative-form
head,cxn,cxn:head
modification-construction,cxn,cxn:modification-construction
modifier,cxn,cxn:modifier
quantifier-term,cxn,cxn:quantifier-term
referent-expression,cxn,cxn:referent-expression
referring-phrase,cxn,cxn:referring-phrase
superlative-form,cxn,cxn:superlative-form
admodification,inf,inf:admodification
modification,inf,inf:modification
reference,inf,inf:reference
comparative-degree,sem,sem:comparative-degree
comparative-relation,sem,sem:comparative-relation
comparee,sem,sem:comparee
degree,sem,sem:degree
entity,sem,sem:entity
event,sem,sem:event
gradable-predicative-scale,sem,sem:gradable-predicative-scale
object-concept,sem,sem:object-concept
property-concept,sem,sem:property-concept
standard,sem,sem:standard
superlative-degree,sem,sem:superlative-degree
adposition,str,str:adposition
conjunction,str,str:conjunction
degree-marker,str,str:degree-marker
degree-modifier,str,str:degree-modifier
flagging,str,str:flagging
independent-strategy,str,str:independent-strategy
particle-comparative,str,str:particle-comparative
preposition,str,str:preposition
word-order,str,str:word-order
